Equation;Variable domains;Variables;Equation-Description;Taxonomy-Domain;Taxonomy-Subdomain;Taxonomy-Specific;Equation_Full
I.6.2a;$\theta \in [1.0,3.0]$;$\theta$: angle/position;Gaussian distribution (normal distribution with $\sigma=1$);Mathematics;Probability Theory;Gaussian Distribution;I.6.20a
I.6.2;$\sigma \in [1.0,3.0]$;$\sigma$: std deviation;Gaussian/normal distribution probability density;Mathematics;Probability Theory;Gaussian Distribution;I.6.20
I.6.2;$\theta \in [1.0,3.0]$;$\theta$: variable;Gaussian/normal distribution probability density;Mathematics;Probability Theory;Gaussian Distribution;I.6.20
I.6.2b;$\sigma \in [1.0,3.0]$;$\sigma$: std deviation;Gaussian distribution with mean $\theta_1$;Mathematics;Probability Theory;Gaussian Distribution;I.6.20b
I.6.2b;$\theta \in [1.0,3.0]$;$\theta$: variable;Gaussian distribution with mean $\theta_1$;Mathematics;Probability Theory;Gaussian Distribution;I.6.20b
I.6.2b;$\theta_1 \in [1.0,3.0]$;$\theta_1$: mean;Gaussian distribution with mean $\theta_1$;Mathematics;Probability Theory;Gaussian Distribution;I.6.20b
I.8.14;$\mathit{x1} \in [1.0,5.0]$;$x_1$: x-coordinate of point 1;Euclidean distance between two points in 2D;Mathematics;Geometry;Euclidean Distance;I.8.14
I.8.14;$\mathit{x2} \in [1.0,5.0]$;$x_2$: x-coordinate of point 2;Euclidean distance between two points in 2D;Mathematics;Geometry;Euclidean Distance;I.8.14
I.8.14;$\mathit{y1} \in [1.0,5.0]$;$y_1$: y-coordinate of point 1;Euclidean distance between two points in 2D;Mathematics;Geometry;Euclidean Distance;I.8.14
I.8.14;$\mathit{y2} \in [1.0,5.0]$;$y_2$: y-coordinate of point 2;Euclidean distance between two points in 2D;Mathematics;Geometry;Euclidean Distance;I.8.14
I.9.18;$\mathit{m1} \in [1.0,2.0]$;$m_1$: mass of body 1;Newton's law of gravitation (gravitational potential energy);Physics;Classical Mechanics;Gravitational Force;I.9.18
I.9.18;$\mathit{m2} \in [1.0,2.0]$;$m_2$: mass of body 2;Newton's law of gravitation (gravitational potential energy);Physics;Classical Mechanics;Gravitational Force;I.9.18
I.9.18;$\mathit{G} \in [1.0,2.0]$;$G$: gravitational constant;Newton's law of gravitation (gravitational potential energy);Physics;Classical Mechanics;Gravitational Force;I.9.18
I.9.18;$\mathit{x1} \in [3.0,4.0]$;$x_1$: x-coordinate of body 1;Newton's law of gravitation (gravitational potential energy);Physics;Classical Mechanics;Gravitational Force;I.9.18
I.9.18;$\mathit{x2} \in [1.0,2.0]$;$x_2$: x-coordinate of body 2;Newton's law of gravitation (gravitational potential energy);Physics;Classical Mechanics;Gravitational Force;I.9.18
I.9.18;$\mathit{y1} \in [3.0,4.0]$;$y_1$: y-coordinate of body 1;Newton's law of gravitation (gravitational potential energy);Physics;Classical Mechanics;Gravitational Force;I.9.18
I.9.18;$\mathit{y2} \in [1.0,2.0]$;$y_2$: y-coordinate of body 2;Newton's law of gravitation (gravitational potential energy);Physics;Classical Mechanics;Gravitational Force;I.9.18
I.9.18;$\mathit{z1} \in [3.0,4.0]$;$z_1$: z-coordinate of body 1;Newton's law of gravitation (gravitational potential energy);Physics;Classical Mechanics;Gravitational Force;I.9.18
I.9.18;$\mathit{z2} \in [1.0,2.0]$;$z_2$: z-coordinate of body 2;Newton's law of gravitation (gravitational potential energy);Physics;Classical Mechanics;Gravitational Force;I.9.18
I.10.7;$\mathit{m_0} \in [1.0,5.0]$;$m_0$: rest mass;Relativistic mass (special relativity);Physics;Relativity;Special Relativity;I.10.7
I.10.7;$\mathit{v} \in [1.0,2.0]$;$v$: velocity;Relativistic mass (special relativity);Physics;Relativity;Special Relativity;I.10.7
I.10.7;$\mathit{c} \in [3.0,10.0]$;$c$: speed of light;Relativistic mass (special relativity);Physics;Relativity;Special Relativity;I.10.7
I.11.19;$\mathit{x1} \in [1.0,5.0]$;$x_1$: 1st component of vector $\mathbf{x}$;Dot product of two 3D vectors;Mathematics;Linear Algebra;Vector Operations;I.11.19
I.11.19;$\mathit{x2} \in [1.0,5.0]$;$x_2$: 2nd component of vector $\mathbf{x}$;Dot product of two 3D vectors;Mathematics;Linear Algebra;Vector Operations;I.11.19
I.11.19;$\mathit{x3} \in [1.0,5.0]$;$x_3$: 3rd component of vector $\mathbf{x}$;Dot product of two 3D vectors;Mathematics;Linear Algebra;Vector Operations;I.11.19
I.11.19;$\mathit{y1} \in [1.0,5.0]$;$y_1$: 1st component of vector $\mathbf{y}$;Dot product of two 3D vectors;Mathematics;Linear Algebra;Vector Operations;I.11.19
I.11.19;$\mathit{y2} \in [1.0,5.0]$;$y_2$: 2nd component of vector $\mathbf{y}$;Dot product of two 3D vectors;Mathematics;Linear Algebra;Vector Operations;I.11.19
I.11.19;$\mathit{y3} \in [1.0,5.0]$;$y_3$: 3rd component of vector $\mathbf{y}$;Dot product of two 3D vectors;Mathematics;Linear Algebra;Vector Operations;I.11.19
I.12.1;$\mathit{mu} \in [1.0,5.0]$;$Nn$: number density;Total magnetic moment (dipole moment);Physics;Electromagnetism;Magnetic Dipole;I.12.1
I.12.1;$\mathit{Nn} \in [1.0,5.0]$;$\mu$: magnetic moment;Total magnetic moment (dipole moment);Physics;Electromagnetism;Magnetic Dipole;I.12.1
I.12.2;$\mathit{q1} \in [1.0,5.0]$;$q_1$: charge of particle 1;Coulomb's law (electrostatic force);Physics;Electromagnetism;Electrostatics;I.12.2
I.12.2;$\mathit{q2} \in [1.0,5.0]$;$q_2$: charge of particle 2;Coulomb's law (electrostatic force);Physics;Electromagnetism;Electrostatics;I.12.2
I.12.2;$\epsilon \in [1.0,5.0]$;$\epsilon$: permittivity of medium;Coulomb's law (electrostatic force);Physics;Electromagnetism;Electrostatics;I.12.2
I.12.2;$\mathit{r} \in [1.0,5.0]$;$r$: distance between charges;Coulomb's law (electrostatic force);Physics;Electromagnetism;Electrostatics;I.12.2
I.12.4;$\mathit{q1} \in [1.0,5.0]$;$q_1$: charge;Electric field magnitude from point charge;Physics;Electromagnetism;Electric Field;I.12.4
I.12.4;$\epsilon \in [1.0,5.0]$;$\epsilon$: permittivity;Electric field magnitude from point charge;Physics;Electromagnetism;Electric Field;I.12.4
I.12.4;$\mathit{r} \in [1.0,5.0]$;$r$: distance;Electric field magnitude from point charge;Physics;Electromagnetism;Electric Field;I.12.4
I.12.5;$\mathit{q2} \in [1.0,5.0]$;$Ef$: electric field;Electric force on charge in field;Physics;Electromagnetism;Electric Force;I.12.5
I.12.5;$\mathit{Ef} \in [1.0,5.0]$;$q_2$: charge;Electric force on charge in field;Physics;Electromagnetism;Electric Force;I.12.5
I.12.11;$\mathit{q} \in [1.0,5.0]$;$q$: charge;Lorentz force (combined electric and magnetic);Physics;Electromagnetism;Lorentz Force;I.12.11
I.12.11;$\mathit{Ef} \in [1.0,5.0]$;$Ef$: electric field;Lorentz force (combined electric and magnetic);Physics;Electromagnetism;Lorentz Force;I.12.11
