EquationKey,EquationChapter,Equation,Equation-Description,Taxonomy-Domain,Taxonomy-Subdomain,Taxonomy-Specific,Variable,Variable_LaTeX,Variables_Description_LaTeX,Variables_Domain,Variables_Domain_LaTeX
Feynman1,FeynmanICh6Eq20a,I.6.2a,Gaussian distribution (normal distribution with $\sigma=1$),Mathematics,Probability Theory,Gaussian Distribution,theta,$\theta$,$\theta$: angle/position,"\theta \in [1.0,3.0]","$\theta \in [1.0,3.0]$"
Feynman2,FeynmanICh6Eq20,I.6.2,Gaussian/normal distribution probability density,Mathematics,Probability Theory,Gaussian Distribution,sigma,$\sigma$,$\sigma$: std deviation,"\sigma \in [1.0,3.0]","$\sigma \in [1.0,3.0]$"
Feynman2,FeynmanICh6Eq20,I.6.2,Gaussian/normal distribution probability density,Mathematics,Probability Theory,Gaussian Distribution,theta,$\theta$,$\theta$: variable,"\theta \in [1.0,3.0]","$\theta \in [1.0,3.0]$"
Feynman3,FeynmanICh6Eq20b,I.6.2b,Gaussian distribution with mean $\theta_1$,Mathematics,Probability Theory,Gaussian Distribution,sigma,$\sigma$,$\sigma$: std deviation,"\sigma \in [1.0,3.0]","$\sigma \in [1.0,3.0]$"
Feynman3,FeynmanICh6Eq20b,I.6.2b,Gaussian distribution with mean $\theta_1$,Mathematics,Probability Theory,Gaussian Distribution,theta,$\theta$,$\theta$: variable,"\theta \in [1.0,3.0]","$\theta \in [1.0,3.0]$"
Feynman3,FeynmanICh6Eq20b,I.6.2b,Gaussian distribution with mean $\theta_1$,Mathematics,Probability Theory,Gaussian Distribution,theta1,$\theta_1$,$\theta_1$: mean,"\theta_1 \in [1.0,3.0]","$\theta_1 \in [1.0,3.0]$"
Feynman4,FeynmanICh8Eq14,I.8.14,Euclidean distance between two points in 2D,Mathematics,Geometry,Euclidean Distance,x1,$x_1$,$x_1$: x-coordinate of point 1,"x_1 \in [1.0,5.0]","$x_1 \in [1.0,5.0]$"
Feynman4,FeynmanICh8Eq14,I.8.14,Euclidean distance between two points in 2D,Mathematics,Geometry,Euclidean Distance,x2,$x_2$,$x_2$: x-coordinate of point 2,"x_2 \in [1.0,5.0]","$x_2 \in [1.0,5.0]$"
Feynman4,FeynmanICh8Eq14,I.8.14,Euclidean distance between two points in 2D,Mathematics,Geometry,Euclidean Distance,y1,$y_1$,$y_1$: y-coordinate of point 1,"y_1 \in [1.0,5.0]","$y_1 \in [1.0,5.0]$"
Feynman4,FeynmanICh8Eq14,I.8.14,Euclidean distance between two points in 2D,Mathematics,Geometry,Euclidean Distance,y2,$y_2$,$y_2$: y-coordinate of point 2,"y_2 \in [1.0,5.0]","$y_2 \in [1.0,5.0]$"
Feynman5,FeynmanICh9Eq18,I.9.18,Newton's law of gravitation (gravitational potential energy),Physics,Classical Mechanics,Gravitational Force,m1,$m_1$,$m_1$: mass of body 1,"m_1 \in [1.0,2.0]","$m_1 \in [1.0,2.0]$"
Feynman5,FeynmanICh9Eq18,I.9.18,Newton's law of gravitation (gravitational potential energy),Physics,Classical Mechanics,Gravitational Force,m2,$m_2$,$m_2$: mass of body 2,"m_2 \in [1.0,2.0]","$m_2 \in [1.0,2.0]$"
Feynman5,FeynmanICh9Eq18,I.9.18,Newton's law of gravitation (gravitational potential energy),Physics,Classical Mechanics,Gravitational Force,G,$G$,$G$: gravitational constant,"G \in [1.0,2.0]","$G \in [1.0,2.0]$"
Feynman5,FeynmanICh9Eq18,I.9.18,Newton's law of gravitation (gravitational potential energy),Physics,Classical Mechanics,Gravitational Force,x1,$x_1$,$x_1$: x-coordinate of body 1,"x_1 \in [3.0,4.0]","$x_1 \in [3.0,4.0]$"
Feynman5,FeynmanICh9Eq18,I.9.18,Newton's law of gravitation (gravitational potential energy),Physics,Classical Mechanics,Gravitational Force,x2,$x_2$,$x_2$: x-coordinate of body 2,"x_2 \in [1.0,2.0]","$x_2 \in [1.0,2.0]$"
Feynman5,FeynmanICh9Eq18,I.9.18,Newton's law of gravitation (gravitational potential energy),Physics,Classical Mechanics,Gravitational Force,y1,$y_1$,$y_1$: y-coordinate of body 1,"y_1 \in [3.0,4.0]","$y_1 \in [3.0,4.0]$"
Feynman5,FeynmanICh9Eq18,I.9.18,Newton's law of gravitation (gravitational potential energy),Physics,Classical Mechanics,Gravitational Force,y2,$y_2$,$y_2$: y-coordinate of body 2,"y_2 \in [1.0,2.0]","$y_2 \in [1.0,2.0]$"
Feynman5,FeynmanICh9Eq18,I.9.18,Newton's law of gravitation (gravitational potential energy),Physics,Classical Mechanics,Gravitational Force,z1,$z_1$,$z_1$: z-coordinate of body 1,"z_1 \in [3.0,4.0]","$z_1 \in [3.0,4.0]$"
Feynman5,FeynmanICh9Eq18,I.9.18,Newton's law of gravitation (gravitational potential energy),Physics,Classical Mechanics,Gravitational Force,z2,$z_2$,$z_2$: z-coordinate of body 2,"z_2 \in [1.0,2.0]","$z_2 \in [1.0,2.0]$"
Feynman6,FeynmanICh10Eq7,I.10.7,Relativistic mass (special relativity),Physics,Relativity,Special Relativity,m0,$m_0$,$m_0$: rest mass,"m_0 \in [1.0,5.0]","$m_0 \in [1.0,5.0]$"
Feynman6,FeynmanICh10Eq7,I.10.7,Relativistic mass (special relativity),Physics,Relativity,Special Relativity,v,$v$,$v$: velocity,"v \in [1.0,2.0]","$v \in [1.0,2.0]$"
Feynman6,FeynmanICh10Eq7,I.10.7,Relativistic mass (special relativity),Physics,Relativity,Special Relativity,c,$c$,$c$: speed of light,"c \in [3.0,10.0]","$c \in [3.0,10.0]$"
Feynman7,FeynmanICh11Eq19,I.11.19,Dot product of two 3D vectors,Mathematics,Linear Algebra,Vector Operations,x1,$x_1$,$x_1$: 1st component of vector $\mathbf{x}$,"x_1 \in [1.0,5.0]","$x_1 \in [1.0,5.0]$"
Feynman7,FeynmanICh11Eq19,I.11.19,Dot product of two 3D vectors,Mathematics,Linear Algebra,Vector Operations,x2,$x_2$,$x_2$: 2nd component of vector $\mathbf{x}$,"x_2 \in [1.0,5.0]","$x_2 \in [1.0,5.0]$"
Feynman7,FeynmanICh11Eq19,I.11.19,Dot product of two 3D vectors,Mathematics,Linear Algebra,Vector Operations,x3,$x_3$,$x_3$: 3rd component of vector $\mathbf{x}$,"x_3 \in [1.0,5.0]","$x_3 \in [1.0,5.0]$"
